annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-04;Lundi;37;1;C1;CHRONOSTAR;CHRONOSTAR;11840.0
2023;Décembre;2023-12-28;Jeudi;53;13;13;Urbaine;Régulières Urbaines;3529.41176
2023;Septembre;2023-09-16;Samedi;38;10;10;Urbaine;Régulières Urbaines;2232.94118
2023;Septembre;2023-09-21;Jeudi;39;81;81;Métropolitaine;Régulières Métropolitaines;804.70588
2023;Décembre;2023-12-04;Lundi;50;9999;9999;Non identifié;Non identifiée;6617.64706
2023;Septembre;2023-09-04;Lundi;37;2;C2;CHRONOSTAR;CHRONOSTAR;11578.82353
2023;Décembre;2023-12-28;Jeudi;53;62;62;Métropolitaine;Régulières Métropolitaines;965.88235
2023;Septembre;2023-09-16;Samedi;38;11;11;Urbaine;Régulières Urbaines;4927.05882
2023;Septembre;2023-09-21;Jeudi;39;82;82;Métropolitaine;Régulières Métropolitaines;474.11765
2023;Décembre;2023-12-05;Mardi;50;3;C3;CHRONOSTAR;CHRONOSTAR;14156.47059
2023;Septembre;2023-09-04;Lundi;37;10;10;Urbaine;Régulières Urbaines;3195.29412
2023;Décembre;2023-12-28;Jeudi;53;67;67;Métropolitaine;Régulières Métropolitaines;1089.41176
2023;Septembre;2023-09-16;Samedi;38;55;55;Métropolitaine;Régulières Métropolitaines;1570.58824
2023;Septembre;2023-09-21;Jeudi;39;156;156ex;Express;Régulières Métropolitaines;176.47059
2023;Décembre;2023-12-05;Mardi;50;4;C4;CHRONOSTAR;CHRONOSTAR;27703.52941
2023;Septembre;2023-09-04;Lundi;37;11;11;Urbaine;Régulières Urbaines;8108.23529
2023;Décembre;2023-12-28;Jeudi;53;73;73;Métropolitaine;Régulières Métropolitaines;582.35294
2023;Septembre;2023-09-16;Samedi;38;61;61;Métropolitaine;Régulières Métropolitaines;1051.76471
2023;Septembre;2023-09-21;Jeudi;39;159;159ex;Express;Régulières Métropolitaines;229.41176
2023;Décembre;2023-12-05;Mardi;50;13;13;Urbaine;Régulières Urbaines;6404.70588
2023;Septembre;2023-09-04;Lundi;37;39;39;Inter-quartiers;Régulières Urbaines;30.58824
2023;Décembre;2023-12-28;Jeudi;53;79;79;Métropolitaine;Régulières Métropolitaines;141.17647
2023;Septembre;2023-09-16;Samedi;38;78;78;Métropolitaine;Régulières Métropolitaines;600.0
2023;Septembre;2023-09-21;Jeudi;39;161;161ex;Express;Régulières Métropolitaines;796.47059
2023;Décembre;2023-12-05;Mardi;50;47;C7ex;CHRONOSTAR;CHRONOSTAR;928.23529
2023;Septembre;2023-09-04;Lundi;37;50;50;Métropolitaine;Régulières Métropolitaines;1300.0
2023;Décembre;2023-12-28;Jeudi;53;80;80;Métropolitaine;Régulières Métropolitaines;264.70588
2023;Septembre;2023-09-16;Samedi;38;80;80;Métropolitaine;Régulières Métropolitaines;284.70588
2023;Septembre;2023-09-21;Jeudi;39;167;167ex;Express;Régulières Métropolitaines;114.11765
2023;Décembre;2023-12-05;Mardi;50;54;54;Métropolitaine;Régulières Métropolitaines;3107.05882
